LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Hindmarsh (S),VIC152,5588,14,1674,250.5,1,5,Hindmarsh,2022-10-06,2022-10-07,14
Hobsons Bay (C),VIC235,97751,106,37894,108.4,15,4,Hobsons Bay,2022-10-06,2022-10-07,128
Horsham (RC),VIC153,19921,21,7301,105.4,5,4,Horsham,2022-10-06,2022-10-07,26
Hume (C),VIC198,233471,228,99506,97.7,44,3,Hume,2022-10-06,2022-10-07,320
Indigo (S),VIC191,16701,19,5643,113.8,1,4,Indigo,2022-10-06,2022-10-07,22
Interstate,,,16,6149,0,1,0,,2022-10-06,2022-10-07,16
Kingston (C),VIC226,165782,180,65480,108.6,26,4,Kingston,2022-10-06,2022-10-07,215
Knox (C),VIC209,164538,199,65319,120.9,32,4,Knox,2022-10-06,2022-10-07,242
Latrobe (C),VIC219,75561,118,29084,156.2,25,4,Latrobe,2022-10-06,2022-10-07,154
Loddon (S),VIC185,7504,6,1912,80,0,3,Loddon,2022-10-06,2022-10-07,7
Macedon Ranges (S),VIC228,50231,69,18609,137.4,8,4,Macedon Ranges,2022-10-06,2022-10-07,77
Manningham (C),VIC195,127573,145,48515,113.7,21,4,Manningham,2022-10-06,2022-10-07,184
Mansfield (S),VIC244,9176,14,3290,152.6,1,4,Mansfield,2022-10-06,2022-10-07,19
Maribyrnong (C),VIC234,93448,99,39488,105.9,23,4,Maribyrnong,2022-10-06,2022-10-07,125
Maroondah (C),VIC207,118558,123,48077,103.7,18,4,Maroondah,2022-10-06,2022-10-07,153
Melbourne (C),VIC132,178955,252,72997,140.8,33,4,Melbourne,2022-10-06,2022-10-07,314
Melton (C),VIC237,164895,181,79739,109.8,28,4,Melton,2022-10-06,2022-10-07,222
Merri-bek (C),VIC131,185767,177,78981,95.3,33,3,Merri-bek,2022-10-06,2022-10-07,220
Mildura (RC),VIC222,55777,74,21210,132.7,10,4,Mildura,2022-10-06,2022-10-07,83
Mitchell (S),VIC211,46082,72,19184,156.2,16,4,Mitchell,2022-10-06,2022-10-07,81
Moira (S),VIC190,29925,44,9698,147,11,4,Moira,2022-10-06,2022-10-07,50
Monash (C),VIC210,202847,234,76358,115.4,52,4,Monash,2022-10-06,2022-10-07,292
Moonee Valley (C),VIC121,130294,137,52745,105.1,25,4,Moonee Valley,2022-10-06,2022-10-07,165
Moorabool (S),VIC236,35049,45,14156,128.4,9,4,Moorabool,2022-10-06,2022-10-07,51
Moreland (C),VIC131,185767,0,0,0,0,0,Moreland,2022-10-06,2022-10-07,0
Mornington Peninsula (S),VIC204,167636,174,62415,103.8,33,4,Mornington Peninsula,2022-10-06,2022-10-07,198
Mount Alexander (S),VIC105,19754,20,6762,101.2,6,4,Mount Alexander,2022-10-06,2022-10-07,28
Moyne (S),VIC229,16953,8,5397,47.2,1,2,Moyne,2022-10-06,2022-10-07,8
Murrindindi (S),VIC250,14570,22,4226,151,3,4,Murrindindi,2022-10-06,2022-10-07,24
Nillumbik (S),VIC216,65094,68,26262,104.5,9,4,Nillumbik,2022-10-06,2022-10-07,79
Northern Grampians (S),VIC166,11402,14,3928,122.8,1,4,Northern Grampians,2022-10-06,2022-10-07,19
Overseas,,,4,205,0,0,0,,2022-10-06,2022-10-07,3
Overseas Traveller,,,0,621,0,0,0,,2022-10-06,2022-10-07,0
Port Phillip (C),VIC208,115601,121,45228,104.7,20,4,Port Phillip,2022-10-06,2022-10-07,138
Pyrenees (S),VIC217,7472,6,2251,80.3,0,3,Pyrenees,2022-10-06,2022-10-07,8
Queenscliffe (B),VIC238,2940,9,1137,306.1,1,5,Queenscliffe,2022-10-06,2022-10-07,9
South Gippsland (S),VIC178,29914,29,9540,96.9,8,3,South Gippsland,2022-10-06,2022-10-07,33
Southern Grampians (S),VIC233,16100,12,5329,74.5,2,3,Southern Grampians,2022-10-06,2022-10-07,15
Stonnington (C),VIC203,117768,92,43322,78.1,11,3,Stonnington,2022-10-06,2022-10-07,116
Strathbogie (S),VIC110,10781,14,3054,129.9,1,4,Strathbogie,2022-10-06,2022-10-07,18
Surf Coast (S),VIC225,33456,32,14834,95.6,4,3,Surf Coast,2022-10-06,2022-10-07,51
Swan Hill (RC),VIC180,20649,19,6769,92,4,3,Swan Hill,2022-10-06,2022-10-07,25
Towong (S),VIC187,6040,5,1602,82.8,0,3,Towong,2022-10-06,2022-10-07,6
Unincorporated Vic,,,2,455,0,1,0,,2022-10-06,2022-10-07,2
Unknown,,,11,5862,0,4,0,,2022-10-06,2022-10-07,12
Wangaratta (RC),VIC186,29187,35,10440,119.9,4,4,Wangaratta,2022-10-06,2022-10-07,39
Warrnambool (C),VIC179,35181,54,13213,153.5,8,4,Warrnambool,2022-10-06,2022-10-07,63
Wellington (S),VIC218,44380,74,15005,166.7,8,4,Wellington,2022-10-06,2022-10-07,89
West Wimmera (S),VIC232,3841,5,913,130.2,0,4,West Wimmera,2022-10-06,2022-10-07,5
Whitehorse (C),VIC196,178739,194,66790,108.5,40,4,Whitehorse,2022-10-06,2022-10-07,246
Whittlesea (C),VIC197,230238,216,97416,93.8,44,3,Whittlesea,2022-10-06,2022-10-07,265
Wodonga (C),VIC192,42083,33,17199,78.4,6,3,Wodonga,2022-10-06,2022-10-07,47
Wyndham (C),VIC221,270487,321,119907,118.7,59,4,Wyndham,2022-10-06,2022-10-07,407
Yarra (C),VIC202,101495,130,42335,128.1,26,4,Yarra,2022-10-06,2022-10-07,151
Yarra Ranges (S),VIC206,159462,166,61056,104.1,24,4,Yarra Ranges,2022-10-06,2022-10-07,209
Yarriambiack (S),VIC200,6639,8,1826,120.5,0,4,Yarriambiack,2022-10-06,2022-10-07,8
