LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Maroondah (C),VIC207,118558,159,48545,134.1,18,4,Maroondah,2022-10-27,2022-10-28,178
Melbourne (C),VIC132,178955,228,73766,127.4,41,4,Melbourne,2022-10-27,2022-10-28,254
Melton (C),VIC237,164895,170,80371,103.1,26,4,Melton,2022-10-27,2022-10-28,193
Merri-bek (C),VIC131,185767,278,79737,149.6,57,4,Merri-bek,2022-10-27,2022-10-28,301
Mildura (RC),VIC222,55777,52,21404,93.2,10,3,Mildura,2022-10-27,2022-10-28,54
Mitchell (S),VIC211,46082,54,19358,117.2,11,4,Mitchell,2022-10-27,2022-10-28,59
Moira (S),VIC190,29925,19,9766,63.5,0,3,Moira,2022-10-27,2022-10-28,19
Monash (C),VIC210,202847,249,77098,122.8,39,4,Monash,2022-10-27,2022-10-28,300
Moonee Valley (C),VIC121,130294,135,53176,103.6,22,4,Moonee Valley,2022-10-27,2022-10-28,152
Moorabool (S),VIC236,35049,29,14261,82.7,7,3,Moorabool,2022-10-27,2022-10-28,33
Moreland (C),VIC131,185767,0,0,0,0,0,Moreland,2022-10-27,2022-10-28,0
Mornington Peninsula (S),VIC204,167636,266,63091,158.7,42,4,Mornington Peninsula,2022-10-27,2022-10-28,288
Mount Alexander (S),VIC105,19754,22,6847,111.4,1,4,Mount Alexander,2022-10-27,2022-10-28,29
Moyne (S),VIC229,16953,12,5430,70.8,2,3,Moyne,2022-10-27,2022-10-28,17
Murrindindi (S),VIC250,14570,12,4267,82.4,2,3,Murrindindi,2022-10-27,2022-10-28,16
Nillumbik (S),VIC216,65094,87,26505,133.7,15,4,Nillumbik,2022-10-27,2022-10-28,94
Northern Grampians (S),VIC166,11402,9,3970,78.9,0,3,Northern Grampians,2022-10-27,2022-10-28,9
Overseas,,,8,219,0,2,0,,2022-10-27,2022-10-28,6
Overseas Traveller,,,0,621,0,0,0,,2022-10-27,2022-10-28,0
Port Phillip (C),VIC208,115601,145,45616,125.4,17,4,Port Phillip,2022-10-27,2022-10-28,159
Pyrenees (S),VIC217,7472,7,2272,93.7,0,3,Pyrenees,2022-10-27,2022-10-28,10
Queenscliffe (B),VIC238,2940,4,1153,136.1,1,4,Queenscliffe,2022-10-27,2022-10-28,4
South Gippsland (S),VIC178,29914,27,9644,90.3,5,3,South Gippsland,2022-10-27,2022-10-28,32
Southern Grampians (S),VIC233,16100,15,5391,93.2,3,3,Southern Grampians,2022-10-27,2022-10-28,21
Stonnington (C),VIC203,117768,134,43728,113.8,30,4,Stonnington,2022-10-27,2022-10-28,160
Strathbogie (S),VIC110,10781,4,3069,37.1,1,2,Strathbogie,2022-10-27,2022-10-28,6
Surf Coast (S),VIC225,33456,46,14948,137.5,7,4,Surf Coast,2022-10-27,2022-10-28,50
Swan Hill (RC),VIC180,20649,8,6812,38.7,4,2,Swan Hill,2022-10-27,2022-10-28,10
Towong (S),VIC187,6040,13,1633,215.2,3,5,Towong,2022-10-27,2022-10-28,20
Unincorporated Vic,,,2,458,0,0,0,,2022-10-27,2022-10-28,2
Unknown,,,11,5871,0,4,0,,2022-10-27,2022-10-28,12
Wangaratta (RC),VIC186,29187,22,10536,75.4,1,3,Wangaratta,2022-10-27,2022-10-28,28
Warrnambool (C),VIC179,35181,79,13402,224.6,11,5,Warrnambool,2022-10-27,2022-10-28,85
Wellington (S),VIC218,44380,71,15253,160,12,4,Wellington,2022-10-27,2022-10-28,82
West Wimmera (S),VIC232,3841,3,928,78.1,0,3,West Wimmera,2022-10-27,2022-10-28,3
Whitehorse (C),VIC196,178739,248,67514,138.7,47,4,Whitehorse,2022-10-27,2022-10-28,281
Whittlesea (C),VIC197,230238,252,98134,109.5,46,4,Whittlesea,2022-10-27,2022-10-28,273
Wodonga (C),VIC192,42083,39,17339,92.7,6,3,Wodonga,2022-10-27,2022-10-28,43
Wyndham (C),VIC221,270487,290,120914,107.2,68,4,Wyndham,2022-10-27,2022-10-28,330
Yarra (C),VIC202,101495,135,42726,133,30,4,Yarra,2022-10-27,2022-10-28,156
Yarra Ranges (S),VIC206,159462,146,61527,91.6,20,3,Yarra Ranges,2022-10-27,2022-10-28,165
Yarriambiack (S),VIC200,6639,7,1856,105.4,1,4,Yarriambiack,2022-10-27,2022-10-28,9
