LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Hobsons Bay (C),VIC235,97751,263,38894,269.1,48,5,Hobsons Bay,2022-11-17,2022-11-18,307
Horsham (RC),VIC153,19921,46,7518,230.9,13,5,Horsham,2022-11-17,2022-11-18,54
Hume (C),VIC198,233471,505,101369,216.3,79,5,Hume,2022-11-17,2022-11-18,564
Indigo (S),VIC191,16701,23,5755,137.7,3,4,Indigo,2022-11-17,2022-11-18,27
Interstate,,,17,6190,0,8,0,,2022-11-17,2022-11-18,19
Kingston (C),VIC226,165782,474,67210,285.9,80,5,Kingston,2022-11-17,2022-11-18,518
Knox (C),VIC209,164538,467,67360,283.8,82,5,Knox,2022-11-17,2022-11-18,547
Latrobe (C),VIC219,75561,164,29881,217,27,5,Latrobe,2022-11-17,2022-11-18,188
Loddon (S),VIC185,7504,9,1940,119.9,3,4,Loddon,2022-11-17,2022-11-18,10
Macedon Ranges (S),VIC228,50231,166,19123,330.5,19,5,Macedon Ranges,2022-11-17,2022-11-18,182
Manningham (C),VIC195,127573,338,49861,264.9,50,5,Manningham,2022-11-17,2022-11-18,386
Mansfield (S),VIC244,9176,17,3364,185.3,3,4,Mansfield,2022-11-17,2022-11-18,24
Maribyrnong (C),VIC234,93448,348,40652,372.4,54,5,Maribyrnong,2022-11-17,2022-11-18,396
Maroondah (C),VIC207,118558,319,49466,269.1,52,5,Maroondah,2022-11-17,2022-11-18,368
Melbourne (C),VIC132,178955,559,75407,312.4,80,5,Melbourne,2022-11-17,2022-11-18,640
Melton (C),VIC237,164895,366,81507,222,67,5,Melton,2022-11-17,2022-11-18,421
Merri-bek (C),VIC131,185767,627,81339,337.5,125,5,Merri-bek,2022-11-17,2022-11-18,704
Mildura (RC),VIC222,55777,107,21672,191.8,16,4,Mildura,2022-11-17,2022-11-18,113
Mitchell (S),VIC211,46082,113,19678,245.2,20,5,Mitchell,2022-11-17,2022-11-18,131
Moira (S),VIC190,29925,59,9905,197.2,7,4,Moira,2022-11-17,2022-11-18,67
Monash (C),VIC210,202847,558,78654,275.1,72,5,Monash,2022-11-17,2022-11-18,649
Moonee Valley (C),VIC121,130294,415,54262,318.5,65,5,Moonee Valley,2022-11-17,2022-11-18,459
Moorabool (S),VIC236,35049,99,14504,282.5,13,5,Moorabool,2022-11-17,2022-11-18,115
Mornington Peninsula (S),VIC204,167636,544,64427,324.5,86,5,Mornington Peninsula,2022-11-17,2022-11-18,616
Mount Alexander (S),VIC105,19754,54,7032,273.4,10,5,Mount Alexander,2022-11-17,2022-11-18,57
Moyne (S),VIC229,16953,41,5539,241.8,6,5,Moyne,2022-11-17,2022-11-18,47
Murrindindi (S),VIC250,14570,29,4365,199,3,4,Murrindindi,2022-11-17,2022-11-18,45
Nillumbik (S),VIC216,65094,195,27055,299.6,27,5,Nillumbik,2022-11-17,2022-11-18,228
Northern Grampians (S),VIC166,11402,23,4049,201.7,0,5,Northern Grampians,2022-11-17,2022-11-18,26
Overseas,,,4,246,0,0,0,,2022-11-17,2022-11-18,4
Overseas Traveller,,,0,621,0,0,0,,2022-11-17,2022-11-18,0
Port Phillip (C),VIC208,115601,336,46572,290.7,48,5,Port Phillip,2022-11-17,2022-11-18,397
Pyrenees (S),VIC217,7472,18,2305,240.9,4,5,Pyrenees,2022-11-17,2022-11-18,18
Queenscliffe (B),VIC238,2940,15,1192,510.2,2,6,Queenscliffe,2022-11-17,2022-11-18,16
South Gippsland (S),VIC178,29914,61,9833,203.9,13,5,South Gippsland,2022-11-17,2022-11-18,72
Southern Grampians (S),VIC233,16100,54,5525,335.4,12,5,Southern Grampians,2022-11-17,2022-11-18,60
Stonnington (C),VIC203,117768,361,44787,306.5,53,5,Stonnington,2022-11-17,2022-11-18,429
Strathbogie (S),VIC110,10781,23,3110,213.3,3,5,Strathbogie,2022-11-17,2022-11-18,26
Surf Coast (S),VIC225,33456,83,15251,248.1,9,5,Surf Coast,2022-11-17,2022-11-18,103
Swan Hill (RC),VIC180,20649,20,6858,96.9,2,3,Swan Hill,2022-11-17,2022-11-18,23
Towong (S),VIC187,6040,16,1672,264.9,5,5,Towong,2022-11-17,2022-11-18,18
Unincorporated Vic,,,0,458,0,0,0,,2022-11-17,2022-11-18,0
Unknown,,,362,6336,0,401,0,,2022-11-17,2022-11-18,438
Wangaratta (RC),VIC186,29187,60,10720,205.6,12,5,Wangaratta,2022-11-17,2022-11-18,78
Warrnambool (C),VIC179,35181,92,13738,261.5,25,5,Warrnambool,2022-11-17,2022-11-18,101
Wellington (S),VIC218,44380,56,15521,126.2,8,4,Wellington,2022-11-17,2022-11-18,73
West Wimmera (S),VIC232,3841,20,961,520.7,2,6,West Wimmera,2022-11-17,2022-11-18,21
Whitehorse (C),VIC196,178739,510,69055,285.3,73,5,Whitehorse,2022-11-17,2022-11-18,592
Whittlesea (C),VIC197,230238,537,99478,233.2,86,5,Whittlesea,2022-11-17,2022-11-18,596
Wodonga (C),VIC192,42083,57,17542,135.4,6,4,Wodonga,2022-11-17,2022-11-18,64
Wyndham (C),VIC221,270487,711,122785,262.9,118,5,Wyndham,2022-11-17,2022-11-18,824
Yarra (C),VIC202,101495,312,43700,307.4,55,5,Yarra,2022-11-17,2022-11-18,372
Yarra Ranges (S),VIC206,159462,414,62655,259.6,59,5,Yarra Ranges,2022-11-17,2022-11-18,492
Yarriambiack (S),VIC200,6639,12,1883,180.8,2,4,Yarriambiack,2022-11-17,2022-11-18,15
