LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Hindmarsh (S),VIC152,5588,7,1703,125.3,3,4,Hindmarsh,2022-11-03,2022-11-04,7
Hobsons Bay (C),VIC235,97751,132,38344,135,34,4,Hobsons Bay,2022-11-03,2022-11-04,157
Horsham (RC),VIC153,19921,30,7429,150.6,6,4,Horsham,2022-11-03,2022-11-04,31
Hume (C),VIC198,233471,240,100383,102.8,55,4,Hume,2022-11-03,2022-11-04,265
Indigo (S),VIC191,16701,13,5692,77.8,1,3,Indigo,2022-11-03,2022-11-04,15
Interstate,,,15,6173,0,6,0,,2022-11-03,2022-11-04,17
Kingston (C),VIC226,165782,267,66279,161.1,56,4,Kingston,2022-11-03,2022-11-04,292
Knox (C),VIC209,164538,300,66316,182.3,52,4,Knox,2022-11-03,2022-11-04,329
Latrobe (C),VIC219,75561,119,29524,157.5,28,4,Latrobe,2022-11-03,2022-11-04,136
Loddon (S),VIC185,7504,4,1927,53.3,1,3,Loddon,2022-11-03,2022-11-04,5
Macedon Ranges (S),VIC228,50231,73,18826,145.3,19,4,Macedon Ranges,2022-11-03,2022-11-04,82
Manningham (C),VIC195,127573,162,49143,127,36,4,Manningham,2022-11-03,2022-11-04,193
Mansfield (S),VIC244,9176,11,3323,119.9,4,4,Mansfield,2022-11-03,2022-11-04,12
Maribyrnong (C),VIC234,93448,119,39998,127.3,26,4,Maribyrnong,2022-11-03,2022-11-04,137
Maroondah (C),VIC207,118558,199,48783,167.9,48,4,Maroondah,2022-11-03,2022-11-04,241
Melbourne (C),VIC132,178955,340,74150,190,74,4,Melbourne,2022-11-03,2022-11-04,380
Melton (C),VIC237,164895,226,80638,137.1,41,4,Melton,2022-11-03,2022-11-04,257
Merri-bek (C),VIC131,185767,309,80076,166.3,72,4,Merri-bek,2022-11-03,2022-11-04,355
Mildura (RC),VIC222,55777,70,21471,125.5,12,4,Mildura,2022-11-03,2022-11-04,67
Mitchell (S),VIC211,46082,58,19423,125.9,12,4,Mitchell,2022-11-03,2022-11-04,66
Moira (S),VIC190,29925,17,9784,56.8,6,3,Moira,2022-11-03,2022-11-04,19
Monash (C),VIC210,202847,342,77479,168.6,73,4,Monash,2022-11-03,2022-11-04,386
Moonee Valley (C),VIC121,130294,214,53420,164.2,29,4,Moonee Valley,2022-11-03,2022-11-04,242
Moorabool (S),VIC236,35049,46,14314,131.2,8,4,Moorabool,2022-11-03,2022-11-04,53
Moreland (C),VIC131,185767,0,0,0,0,0,Moreland,2022-11-03,2022-11-04,0
Mornington Peninsula (S),VIC204,167636,208,63345,124.1,39,4,Mornington Peninsula,2022-11-03,2022-11-04,253
Mount Alexander (S),VIC105,19754,43,6895,217.7,7,5,Mount Alexander,2022-11-03,2022-11-04,49
Moyne (S),VIC229,16953,23,5453,135.7,5,4,Moyne,2022-11-03,2022-11-04,26
Murrindindi (S),VIC250,14570,15,4284,103,3,4,Murrindindi,2022-11-03,2022-11-04,17
Nillumbik (S),VIC216,65094,113,26627,173.6,22,4,Nillumbik,2022-11-03,2022-11-04,124
Northern Grampians (S),VIC166,11402,22,3994,192.9,5,4,Northern Grampians,2022-11-03,2022-11-04,24
Overseas,,,5,225,0,0,0,,2022-11-03,2022-11-04,3
Overseas Traveller,,,0,621,0,0,0,,2022-11-03,2022-11-04,0
Port Phillip (C),VIC208,115601,175,45826,151.4,42,4,Port Phillip,2022-11-03,2022-11-04,208
Pyrenees (S),VIC217,7472,6,2279,80.3,4,3,Pyrenees,2022-11-03,2022-11-04,8
Queenscliffe (B),VIC238,2940,5,1157,170.1,1,4,Queenscliffe,2022-11-03,2022-11-04,5
South Gippsland (S),VIC178,29914,43,9690,143.7,13,4,South Gippsland,2022-11-03,2022-11-04,46
Southern Grampians (S),VIC233,16100,27,5421,167.7,4,4,Southern Grampians,2022-11-03,2022-11-04,30
Stonnington (C),VIC203,117768,199,43948,169,44,4,Stonnington,2022-11-03,2022-11-04,220
Strathbogie (S),VIC110,10781,5,3074,46.4,2,2,Strathbogie,2022-11-03,2022-11-04,8
Surf Coast (S),VIC225,33456,78,15036,233.1,16,5,Surf Coast,2022-11-03,2022-11-04,88
Swan Hill (RC),VIC180,20649,8,6821,38.7,0,2,Swan Hill,2022-11-03,2022-11-04,9
Towong (S),VIC187,6040,2,1636,33.1,0,2,Towong,2022-11-03,2022-11-04,3
Unincorporated Vic,,,0,458,0,0,0,,2022-11-03,2022-11-04,0
Unknown,,,14,5881,0,4,0,,2022-11-03,2022-11-04,13
Wangaratta (RC),VIC186,29187,28,10568,95.9,4,3,Wangaratta,2022-11-03,2022-11-04,32
Warrnambool (C),VIC179,35181,81,13497,230.2,10,5,Warrnambool,2022-11-03,2022-11-04,93
Wellington (S),VIC218,44380,65,15329,146.5,14,4,Wellington,2022-11-03,2022-11-04,74
West Wimmera (S),VIC232,3841,2,930,52.1,1,3,West Wimmera,2022-11-03,2022-11-04,2
Whitehorse (C),VIC196,178739,324,67887,181.3,67,4,Whitehorse,2022-11-03,2022-11-04,371
Whittlesea (C),VIC197,230238,262,98431,113.8,54,4,Whittlesea,2022-11-03,2022-11-04,293
Wodonga (C),VIC192,42083,49,17393,116.4,8,4,Wodonga,2022-11-03,2022-11-04,53
Wyndham (C),VIC221,270487,358,121329,132.4,68,4,Wyndham,2022-11-03,2022-11-04,411
Yarra (C),VIC202,101495,183,42926,180.3,60,4,Yarra,2022-11-03,2022-11-04,206
Yarra Ranges (S),VIC206,159462,192,61753,120.4,60,4,Yarra Ranges,2022-11-03,2022-11-04,224
Yarriambiack (S),VIC200,6639,5,1863,75.3,1,3,Yarriambiack,2022-11-03,2022-11-04,7
