LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Wangaratta (RC),VIC186,29187,23,10467,78.8,5,3,Wangaratta,2022-10-13,2022-10-14,26
Warrnambool (C),VIC179,35181,39,13259,110.9,10,4,Warrnambool,2022-10-13,2022-10-14,47
Wellington (S),VIC218,44380,79,15091,178,14,4,Wellington,2022-10-13,2022-10-14,88
West Wimmera (S),VIC232,3841,5,919,130.2,0,4,West Wimmera,2022-10-13,2022-10-14,5
Whitehorse (C),VIC196,178739,221,67048,123.6,37,4,Whitehorse,2022-10-13,2022-10-14,263
Whittlesea (C),VIC197,230238,222,97664,96.4,29,3,Whittlesea,2022-10-13,2022-10-14,256
Wodonga (C),VIC192,42083,47,17256,111.7,9,4,Wodonga,2022-10-13,2022-10-14,56
Wyndham (C),VIC221,270487,261,120266,96.5,60,3,Wyndham,2022-10-13,2022-10-14,348
Yarra (C),VIC202,101495,99,42464,97.5,23,3,Yarra,2022-10-13,2022-10-14,133
Yarra Ranges (S),VIC206,159462,152,61240,95.3,21,3,Yarra Ranges,2022-10-13,2022-10-14,185
Yarriambiack (S),VIC200,6639,9,1839,135.6,0,4,Yarriambiack,2022-10-13,2022-10-14,13
