LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Maroondah (C),VIC207,118558,204,47521,172.1,43,4,Maroondah,2022-09-15,2022-09-16,241
Melbourne (C),VIC132,178955,266,72144,148.6,39,4,Melbourne,2022-09-15,2022-09-16,335
Melton (C),VIC237,164895,274,79059,166.2,51,4,Melton,2022-09-15,2022-09-16,332
Mildura (RC),VIC222,55777,108,20975,193.6,23,4,Mildura,2022-09-15,2022-09-16,126
Mitchell (S),VIC211,46082,96,18932,208.3,11,5,Mitchell,2022-09-15,2022-09-16,104
Moira (S),VIC190,29925,43,9551,143.7,7,4,Moira,2022-09-15,2022-09-16,44
Monash (C),VIC210,202847,347,75488,171.1,60,4,Monash,2022-09-15,2022-09-16,422
Moonee Valley (C),VIC121,130294,114,52242,87.5,21,3,Moonee Valley,2022-09-15,2022-09-16,144
Moorabool (S),VIC236,35049,75,13931,214,15,5,Moorabool,2022-09-15,2022-09-16,81
Moreland (C),VIC131,185767,241,78276,129.7,44,4,Moreland,2022-09-15,2022-09-16,284
Mornington Peninsula (S),VIC204,167636,226,61799,134.8,28,4,Mornington Peninsula,2022-09-15,2022-09-16,255
Mount Alexander (S),VIC105,19754,33,6673,167.1,6,4,Mount Alexander,2022-09-15,2022-09-16,40
Moyne (S),VIC229,16953,24,5363,141.6,3,4,Moyne,2022-09-15,2022-09-16,27
Murrindindi (S),VIC250,14570,15,4167,103,1,4,Murrindindi,2022-09-15,2022-09-16,17
Nillumbik (S),VIC216,65094,84,26000,129,12,4,Nillumbik,2022-09-15,2022-09-16,100
Northern Grampians (S),VIC166,11402,10,3862,87.7,2,3,Northern Grampians,2022-09-15,2022-09-16,11
Overseas,,,2,196,0,0,0,,2022-09-15,2022-09-16,0
Overseas Traveller,,,0,621,0,0,0,,2022-09-15,2022-09-16,0
Port Phillip (C),VIC208,115601,134,44834,115.9,29,4,Port Phillip,2022-09-15,2022-09-16,161
Pyrenees (S),VIC217,7472,9,2223,120.4,2,4,Pyrenees,2022-09-15,2022-09-16,12
Queenscliffe (B),VIC238,2940,0,1121,0,0,0,Queenscliffe,2022-09-15,2022-09-16,0
South Gippsland (S),VIC178,29914,29,9421,96.9,7,3,South Gippsland,2022-09-15,2022-09-16,34
Southern Grampians (S),VIC233,16100,21,5280,130.4,4,4,Southern Grampians,2022-09-15,2022-09-16,24
Stonnington (C),VIC203,117768,123,42964,104.4,23,4,Stonnington,2022-09-15,2022-09-16,165
Strathbogie (S),VIC110,10781,6,2998,55.7,3,3,Strathbogie,2022-09-15,2022-09-16,6
Surf Coast (S),VIC225,33456,63,14704,188.3,11,4,Surf Coast,2022-09-15,2022-09-16,78
Swan Hill (RC),VIC180,20649,21,6687,101.7,1,4,Swan Hill,2022-09-15,2022-09-16,23
Towong (S),VIC187,6040,8,1578,132.5,2,4,Towong,2022-09-15,2022-09-16,8
Unincorporated Vic,,,2,449,0,0,0,,2022-09-15,2022-09-16,3
Unknown,,,19,5840,0,5,0,,2022-09-15,2022-09-16,18
Wangaratta (RC),VIC186,29187,43,10290,147.3,6,4,Wangaratta,2022-09-15,2022-09-16,46
Warrnambool (C),VIC179,35181,65,13057,184.8,7,4,Warrnambool,2022-09-15,2022-09-16,73
Wellington (S),VIC218,44380,67,14784,151,19,4,Wellington,2022-09-15,2022-09-16,75
West Wimmera (S),VIC232,3841,3,903,78.1,0,3,West Wimmera,2022-09-15,2022-09-16,3
Whitehorse (C),VIC196,178739,273,65992,152.7,49,4,Whitehorse,2022-09-15,2022-09-16,334
Whittlesea (C),VIC197,230238,317,96584,137.7,55,4,Whittlesea,2022-09-15,2022-09-16,372
Wodonga (C),VIC192,42083,89,17013,211.5,17,5,Wodonga,2022-09-15,2022-09-16,106
Wyndham (C),VIC221,270487,481,118671,177.8,114,4,Wyndham,2022-09-15,2022-09-16,569
Yarra (C),VIC202,101495,103,41938,101.5,13,4,Yarra,2022-09-15,2022-09-16,141
Yarra Ranges (S),VIC206,159462,231,60391,144.9,38,4,Yarra Ranges,2022-09-15,2022-09-16,266
Yarriambiack (S),VIC200,6639,7,1797,105.4,2,4,Yarriambiack,2022-09-15,2022-09-16,8
